136154.95654708444  57735.22192153549  0.01047130773493176 | 1.4709999989739772E14  5.571525646048303E9  9.999999993024959E12 | 5.640612786330235E10  1.377291884399829E11  0.010495903089335144 | 4147200.0
141210.28090377618  61218.88551048731  0.01091689529847561 | 1.4709999989303166E14  5.687599096950788E9  9.999999992728148E12 | 5.303873767296254E10  1.390792553001042E11  0.010942261611819331 | 4233600.0
146313.4557444126  64828.02353118737  0.011371765936287113 | 1.4709999988857462E14  5.803672547849755E9  9.999999992425154E12 | 4.963947395919351E10  1.4034574257391043E11  0.011397897955611387 | 4320000.0
151461.3995950435  68563.73695456068  0.01183591964836762 | 1.4709999988402662E14  5.919745998745135E9  9.999999992115977E12 | 4.621038931800565E10  1.4152791689530328E11  0.011862811024043496 | 4406400.0
156651.006997224  72427.05269621285  0.012309356434718484 | 1.470999998793877E14  6.035819449636854E9  9.999999991800615E12 | 4.275355232168525E10  1.426250942270626E11  0.012336999718665713 | 4492800.0
161879.15020611748  76418.9231575668  0.01279207629534105 | 1.4709999987465778E14  6.151892900524841E9  9.99999999147907E12 | 3.927104638767368E10  1.4363664016649918E11  0.012820462940262655 | 4579200.0
167142.68089427263  80540.22580183492  0.013284079230236657 | 1.470999998698369E14  6.267966351409025E9  9.999999991151342E12 | 3.576496864366711E10  1.445619702279033E11  0.013313199589872964 | 4665600.0
172438.4318605711  84791.76276473135  0.013785365239406636 | 1.470999998649251E14  6.384039802289332E9  9.99999999081743E12 | 3.223742878927183E10  1.4540055010185257E11  0.01381520856981092 | 4752000.0
177763.21874385432  89174.26049983247  0.01429593432285231 | 1.470999998599223E14  6.500113253165692E9  9.999999990477334E12 | 2.8690547954542866E10  1.461518958914404E11  0.01432648878468952 | 4838400.0
183113.8417407492  93688.3694584997  0.014815786480574992 | 1.4709999985482856E14  6.6161867040380335E9  9.999999990131055E12 | 2.5126457555725773E10  1.46815574325482E11  0.014847039142444386 | 4924800.0
188487.087327221  98334.66380428385  0.01534492171257598 | 1.4709999984964384E14  6.732260154906283E9  9.999999989778592E12 | 2.154729814851544E10  1.4739120294875223E11  0.015376858555357819 | 5011200.0
193879.72998339272  103113.64116173658  0.01588334001885656 | 1.470999998443682E14  6.848333605770371E9  9.999999989419945E12 | 1.7955218279139423E10  1.4787845028930432E11  0.015915945941082373 | 5097600.0
199288.53392117628  108025.72239956108  0.016431041399418006 | 1.4709999983900156E14  6.964407056630224E9  9.999999989055115E12 | 1.4352373333567957E10  1.4827703600291507E11  0.01646430022366326 | 5184000.0
204710.25481426978  113071.25144804119  0.01698802585426157 | 1.4709999983354397E14  7.08048050748577E9  9.999999988684104E12 | 1.0740924385148163E10  1.485867309946969E11  0.017021920334558963 | 5270400.0
210141.64153008012  118250.49515069534  0.01755429338338849 | 1.4709999982799544E14  7.196553958336939E9  9.999999988306908E12 | 7.123037040955637E9  1.4880735751791238E11  0.017588805213659357 | 5356800.0
215579.43786313603  123563.64315010971  0.018129843986799975 | 1.4709999982235594E14  7.312627409183658E9  9.99999998792353E12 | 3.5008802871532254E9  1.489387892500218E11  0.018164953810300727 | 5443200.0
221020.3842695611  129010.80780791248  0.018714677664497224 | 1.4709999981662547E14  7.428700860025854E9  9.999999987533967E12 | -1.2337466635611631E8  1.4898095134598886E11  0.01875036508427698 | 5529600.0
226461.21960217893  134592.0241588595  0.01930879441648141 | 1.4709999981080403E14  7.544774310863459E9  9.99999998713822E12 | -3.747555541697694E9  1.4893382046886478E11  0.019345038006846435 | 5616000.0
231898.68284582574  140307.2498990098  0.019912194242753676 | 1.4709999980489166E14  7.660847761696397E9  9.999999986736291E12 | -7.369490148931534E9  1.4879742479766455E11  0.019948971561733506 | 5702400.0
237329.51485244653  146156.36540797763  0.020524877143315152 | 1.470999997988883E14  7.776921212524599E9  9.999999986328178E12 | -1.0987007541814697E10  1.485718440125447E11  0.020562164746124628 | 5788800.0
242750.46007555147  152139.17380525667  0.021146843118166926 | 1.47099999792794E14  7.892994663347992E9  9.99999998591388E12 | -1.4597939173137444E10  1.4825720925728534E11  0.021184616571657756 | 5875200.0
248158.26830360852  158255.40104061904  0.02177809216731006 | 1.4709999978660875E14  8.009068114166505E9  9.9999999854934E12 | -1.8200120049350826E10  1.4785370307907443E11  0.021816326065404783 | 5961600.0
253549.69639194687  164504.696018602  0.022418624290745596 | 1.4709999978033253E14  8.125141564980065E9  9.999999985066736E12 | -2.1791389884202225E10  1.473615593455864E11  0.022457292270846245 | 6048000.0
258921.5099927425  170886.6307571016  0.023068439488474535 | 1.4709999977396534E14  8.241215015788602E9  9.999999984633889E12 | -2.5369594251093548E10  1.4678106313934128E11  0.023107514248837592 | 6134400.0
